uid,left_actor_id,left_actor_name,<->,right_actor_id,right_actor_name,weight
nm7290414__nm8633202,nm7290414,Elisa Marti,<->,nm8633202,Heather Michelle,1
nm7169928__nm7290414,nm7169928,Brandon J. Shaw,<->,nm7290414,Elisa Marti,1
nm2599178__nm6965344,nm2599178,Brianna Ward,<->,nm6965344,Angelique Kenney,1
nm3090922__nm6367410,nm3090922,Chiara D'Ambrosio,<->,nm6367410,Ashlyn Casalegno,1
nm3090925__nm6367410,nm3090925,Bianca D'Ambrosio,<->,nm6367410,Ashlyn Casalegno,1
nm3090922__nm3090925,nm3090922,Chiara D'Ambrosio,<->,nm3090925,Bianca D'Ambrosio,1
nm10703826__nm7970388,nm10703826,Mike Ramirez,<->,nm7970388,Chase Bloomquist,1
nm2270016__nm4152381,nm2270016,Laura Wiggins,<->,nm4152381,Kyla Deaver,1
nm2270016__nm7545798,nm2270016,Laura Wiggins,<->,nm7545798,Bill Barrett,1
nm11383495__nm6791455,nm11383495,Keith Stone Griffith,<->,nm6791455,Daphne Danielle,1
nm11383495__nm8766611,nm11383495,Keith Stone Griffith,<->,nm8766611,Ramon Nuñez,1
nm6791455__nm8766611,nm6791455,Daphne Danielle,<->,nm8766611,Ramon Nuñez,1
nm6198752__nm9064785,nm6198752,Shannon Lee,<->,nm9064785,Huy Nguyen,1
nm1989804__nm4205735,nm1989804,Taylor Kowalski,<->,nm4205735,Jazzy De Lisser,1
nm4205735__nm5975048,nm4205735,Jazzy De Lisser,<->,nm5975048,Gala Gordon,1
nm1989804__nm5975048,nm1989804,Taylor Kowalski,<->,nm5975048,Gala Gordon,1
nm0198369__nm1638069,nm0198369,Wally Dalton,<->,nm1638069,Annie Gonzalez,1
nm10163814__nm10163815,nm10163814,August Gamache,<->,nm10163815,Debbie Mace,1
nm10163815__nm3635327,nm10163815,Debbie Mace,<->,nm3635327,Riccardo Segal,1
nm10163814__nm3635327,nm10163814,August Gamache,<->,nm3635327,Riccardo Segal,1
nm1028773__nm3777421,nm1028773,Mark Anthony Cox,<->,nm3777421,Whitney Wegman-Wood,1
nm1028773__nm8762972,nm1028773,Mark Anthony Cox,<->,nm8762972,Melissa Browne,1
nm3777421__nm8762972,nm3777421,Whitney Wegman-Wood,<->,nm8762972,Melissa Browne,1
nm0086301__nm1488577,nm0086301,Macon Blair,<->,nm1488577,Claire Titelman,1
nm0233238__nm3276249,nm0233238,Mike Dooly,<->,nm3276249,Patrick Penta,1
nm0056082__nm0960486,nm0056082,Mike Barnicle,<->,nm0960486,Marty Appel,1
nm0960486__nm1658204,nm0960486,Marty Appel,<->,nm1658204,Harvey Araton,1
nm0056082__nm1658204,nm0056082,Mike Barnicle,<->,nm1658204,Harvey Araton,1
nm1793186__nm1968979,nm1793186,Mark Lawson,<->,nm1968979,Shara Connolly,1
nm4029706__nm5148989,nm4029706,Mandy Takhar,<->,nm5148989,Preet Harpal,1
nm10943608__nm11890317,nm10943608,Tasiana Shirley,<->,nm11890317,Nalajoss Ellsworth,1
nm4624730__nm4737223,nm4624730,Kirby Howell-Baptiste,<->,nm4737223,Bebe Rexha,1
nm0270268__nm0903985,nm0270268,Kathleen Fee,<->,nm0903985,Vlasta Vrana,1
nm10201180__nm2803530,nm10201180,Sarah Shoemaker,<->,nm2803530,Allie Rivera Quiñonez,1
nm10201180__nm5512743,nm10201180,Sarah Shoemaker,<->,nm5512743,Michael Farca,1
nm10201180__nm9520570,nm10201180,Sarah Shoemaker,<->,nm9520570,Yoo-mi Park,1
nm2803530__nm5512743,nm2803530,Allie Rivera Quiñonez,<->,nm5512743,Michael Farca,1
nm2803530__nm9520570,nm2803530,Allie Rivera Quiñonez,<->,nm9520570,Yoo-mi Park,1
nm5512743__nm9520570,nm5512743,Michael Farca,<->,nm9520570,Yoo-mi Park,1
nm1112097__nm1655608,nm1112097,Claire Price,<->,nm1655608,Kirsty Bushell,1
nm0522658__nm0858225,nm0522658,Conor Lovett,<->,nm0858225,Sylvain Thirolle,1
nm0858225__nm1490340,nm0858225,Sylvain Thirolle,<->,nm1490340,James Lailey,1
nm0522658__nm1490340,nm0522658,Conor Lovett,<->,nm1490340,James Lailey,1
nm2843808__nm3473431,nm2843808,Jennifer Kincer,<->,nm3473431,Yancey Fuqua,1
nm2513282__nm6127780,nm2513282,Eliot Glazer,<->,nm6127780,Molly Evensen,1
nm10157162__nm8944851,nm10157162,Randel Gnapp,<->,nm8944851,Shannon Greer,1
nm3979341__nm8521559,nm3979341,Albie Casiño,<->,nm8521559,Edward Barber,1
nm7352723__nm8505254,nm7352723,Gabriela Pedraza,<->,nm8505254,Danny Siegel,1
nm7352723__nm9867977,nm7352723,Gabriela Pedraza,<->,nm9867977,Angelee Vera,1
nm8505254__nm9867977,nm8505254,Danny Siegel,<->,nm9867977,Angelee Vera,1
nm0533589__nm9141212,nm0533589,Laird Macintosh,<->,nm9141212,Amaryllis Fox,1
nm0266723__nm0673391,nm0266723,Daniel Fanego,<->,nm0673391,Diego Peretti,1
nm0673391__nm5509403,nm0673391,Diego Peretti,<->,nm5509403,Francisco Lumerman,1
nm0266723__nm5509403,nm0266723,Daniel Fanego,<->,nm5509403,Francisco Lumerman,1
nm10170104__nm3809856,nm10170104,Sasha Chettri,<->,nm3809856,Krishnudu,1
nm10170104__nm8528996,nm10170104,Sasha Chettri,<->,nm8528996,Nithya Naresh,1
nm3809856__nm8528996,nm3809856,Krishnudu,<->,nm8528996,Nithya Naresh,1
nm10172813__nm7333844,nm10172813,Tilly Taufmann,<->,nm7333844,Jay Mitchell,1
nm10174749__nm1747558,nm10174749,Abel Gonzalez,<->,nm1747558,Jesus Flores,1
nm10174750__nm1747558,nm10174750,Cesar Gonzalez,<->,nm1747558,Jesus Flores,1
nm10174749__nm10174750,nm10174749,Abel Gonzalez,<->,nm10174750,Cesar Gonzalez,1
nm2288356__nm6082230,nm2288356,Brett M. Butler,<->,nm6082230,Sarah Beaudin,1
nm2290469__nm6082230,nm2290469,Jason G. Butler,<->,nm6082230,Sarah Beaudin,1
nm3591236__nm6082230,nm3591236,Michael Coughlan,<->,nm6082230,Sarah Beaudin,1
nm5933467__nm6082230,nm5933467,Tiffany Blom,<->,nm6082230,Sarah Beaudin,1
nm6082230__nm7901046,nm6082230,Sarah Beaudin,<->,nm7901046,Laura Radu,1
nm2288356__nm3591236,nm2288356,Brett M. Butler,<->,nm3591236,Michael Coughlan,1
nm2290469__nm3591236,nm2290469,Jason G. Butler,<->,nm3591236,Michael Coughlan,1
nm3591236__nm5933467,nm3591236,Michael Coughlan,<->,nm5933467,Tiffany Blom,1
nm3591236__nm7901046,nm3591236,Michael Coughlan,<->,nm7901046,Laura Radu,1
nm2288356__nm7901046,nm2288356,Brett M. Butler,<->,nm7901046,Laura Radu,1
nm2290469__nm7901046,nm2290469,Jason G. Butler,<->,nm7901046,Laura Radu,1
nm5933467__nm7901046,nm5933467,Tiffany Blom,<->,nm7901046,Laura Radu,1
nm2288356__nm5933467,nm2288356,Brett M. Butler,<->,nm5933467,Tiffany Blom,1
nm2290469__nm5933467,nm2290469,Jason G. Butler,<->,nm5933467,Tiffany Blom,1
nm2288356__nm2290469,nm2288356,Brett M. Butler,<->,nm2290469,Jason G. Butler,1
nm2280036__nm5345347,nm2280036,Aaron Tucker,<->,nm5345347,Tara Arroyave,1
nm11325163__nm11325164,nm11325163,Rizwan Shaikh,<->,nm11325164,Harsh Rajendra Rane,1
nm11325163__nm11325172,nm11325163,Rizwan Shaikh,<->,nm11325172,Dhanshree Patil,1
nm11325164__nm11325172,nm11325164,Harsh Rajendra Rane,<->,nm11325172,Dhanshree Patil,1
nm3561350__nm3591496,nm3561350,Udhayanidhi Stalin,<->,nm3591496,Ram,1
nm2730808__nm4817510,nm2730808,Emma Dumont,<->,nm4817510,Adain Bradley,1
nm8110570__nm8895524,nm8110570,Ronnie Nanos,<->,nm8895524,Neel Esh Patel,1
nm0006355__nm0913993,nm0006355,Roy Billing,<->,nm0913993,Dennis Waterman,1
nm0913993__nm2037879,nm0913993,Dennis Waterman,<->,nm2037879,Shane Jacobson,1
nm0006355__nm2037879,nm0006355,Roy Billing,<->,nm2037879,Shane Jacobson,1
nm3630583__nm3976562,nm3630583,Doug Henderson,<->,nm3976562,Davy Raphaely,1
nm1911167__nm7287133,nm1911167,Keith Bethea,<->,nm7287133,Becky Abrams,1
nm4873809__nm7287133,nm4873809,Jonathan Braylock,<->,nm7287133,Becky Abrams,1
nm1911167__nm4873809,nm1911167,Keith Bethea,<->,nm4873809,Jonathan Braylock,1
nm10891628__nm9544527,nm10891628,Raul Chacon,<->,nm9544527,April M. Grant,1
nm3222922__nm9544527,nm3222922,Stephon Davis,<->,nm9544527,April M. Grant,1
nm7251476__nm9544527,nm7251476,Mark Christian,<->,nm9544527,April M. Grant,1
nm8539178__nm9544527,nm8539178,Rob Bullock,<->,nm9544527,April M. Grant,1
nm9310910__nm9544527,nm9310910,Sonya D Gooden,<->,nm9544527,April M. Grant,1
nm9427821__nm9544527,nm9427821,Detrah Brown,<->,nm9544527,April M. Grant,1
nm10891628__nm9427821,nm10891628,Raul Chacon,<->,nm9427821,Detrah Brown,1
nm3222922__nm9427821,nm3222922,Stephon Davis,<->,nm9427821,Detrah Brown,1
nm7251476__nm9427821,nm7251476,Mark Christian,<->,nm9427821,Detrah Brown,1
nm8539178__nm9427821,nm8539178,Rob Bullock,<->,nm9427821,Detrah Brown,1
nm9310910__nm9427821,nm9310910,Sonya D Gooden,<->,nm9427821,Detrah Brown,1
nm10891628__nm8539178,nm10891628,Raul Chacon,<->,nm8539178,Rob Bullock,1
nm3222922__nm8539178,nm3222922,Stephon Davis,<->,nm8539178,Rob Bullock,1
nm7251476__nm8539178,nm7251476,Mark Christian,<->,nm8539178,Rob Bullock,1
nm8539178__nm9310910,nm8539178,Rob Bullock,<->,nm9310910,Sonya D Gooden,1
nm10891628__nm3222922,nm10891628,Raul Chacon,<->,nm3222922,Stephon Davis,1
nm10891628__nm7251476,nm10891628,Raul Chacon,<->,nm7251476,Mark Christian,1
nm10891628__nm9310910,nm10891628,Raul Chacon,<->,nm9310910,Sonya D Gooden,1
nm3222922__nm7251476,nm3222922,Stephon Davis,<->,nm7251476,Mark Christian,1
nm7251476__nm9310910,nm7251476,Mark Christian,<->,nm9310910,Sonya D Gooden,1
nm3222922__nm9310910,nm3222922,Stephon Davis,<->,nm9310910,Sonya D Gooden,1
nm0171059__nm0565750,nm0171059,Jack Coleman,<->,nm0565750,Kathleen McClellan,1
nm0126192__nm1033621,nm0126192,J. Dixon Byrne,<->,nm1033621,Jennifer Dorr White,1
nm1033621__nm5887347,nm1033621,Jennifer Dorr White,<->,nm5887347,Dana Berger,1
nm0126192__nm5887347,nm0126192,J. Dixon Byrne,<->,nm5887347,Dana Berger,1
nm6526807__nm7190199,nm6526807,Logan Allen,<->,nm7190199,Lola Sultan,1
nm2006748__nm2007871,nm2006748,Tom Harris,<->,nm2007871,Georgia Vasi,1
nm2006748__nm4476830,nm2006748,Tom Harris,<->,nm4476830,Jared Rice,1
nm2007871__nm4476830,nm2007871,Georgia Vasi,<->,nm4476830,Jared Rice,1
nm3598223__nm4708328,nm3598223,Vinny Curran,<->,nm4708328,Iliyana Apostolova,1
nm3598223__nm9672849,nm3598223,Vinny Curran,<->,nm9672849,Brendan Cahalan,1
nm4708328__nm9672849,nm4708328,Iliyana Apostolova,<->,nm9672849,Brendan Cahalan,1
nm3219246__nm6723651,nm3219246,Steven Cole,<->,nm6723651,Shelly Cole,1
nm2117031__nm5754381,nm2117031,Cat LaCohie,<->,nm5754381,Rosanna Nelson,1
nm5598795__nm5992649,nm5598795,Anisha Ambrose,<->,nm5992649,Tridha Choudhury,1
nm5598795__nm8493968,nm5598795,Anisha Ambrose,<->,nm8493968,Aditi Arya,1
nm5992649__nm8493968,nm5992649,Tridha Choudhury,<->,nm8493968,Aditi Arya,1
nm10302244__nm10454955,nm10302244,Chris Mawson,<->,nm10454955,Pippa Conway,1
nm10454955__nm1469085,nm10454955,Pippa Conway,<->,nm1469085,Anne Wittman,1
nm10454955__nm3473289,nm10454955,Pippa Conway,<->,nm3473289,Kate Cook,1
nm10454955__nm4185929,nm10454955,Pippa Conway,<->,nm4185929,Matthew Winters,1
nm10454955__nm4723188,nm10454955,Pippa Conway,<->,nm4723188,Alison Brougham,1
nm10454955__nm6494289,nm10454955,Pippa Conway,<->,nm6494289,Paul McQuaid,1
nm10302244__nm4723188,nm10302244,Chris Mawson,<->,nm4723188,Alison Brougham,1
nm1469085__nm4723188,nm1469085,Anne Wittman,<->,nm4723188,Alison Brougham,1
nm3473289__nm4723188,nm3473289,Kate Cook,<->,nm4723188,Alison Brougham,1
nm4185929__nm4723188,nm4185929,Matthew Winters,<->,nm4723188,Alison Brougham,1
nm4723188__nm6494289,nm4723188,Alison Brougham,<->,nm6494289,Paul McQuaid,1
nm10302244__nm1469085,nm10302244,Chris Mawson,<->,nm1469085,Anne Wittman,1
nm1469085__nm3473289,nm1469085,Anne Wittman,<->,nm3473289,Kate Cook,1
nm1469085__nm4185929,nm1469085,Anne Wittman,<->,nm4185929,Matthew Winters,1
nm1469085__nm6494289,nm1469085,Anne Wittman,<->,nm6494289,Paul McQuaid,1
nm10302244__nm3473289,nm10302244,Chris Mawson,<->,nm3473289,Kate Cook,1
nm3473289__nm4185929,nm3473289,Kate Cook,<->,nm4185929,Matthew Winters,1
nm3473289__nm6494289,nm3473289,Kate Cook,<->,nm6494289,Paul McQuaid,1
nm10302244__nm4185929,nm10302244,Chris Mawson,<->,nm4185929,Matthew Winters,1
nm10302244__nm6494289,nm10302244,Chris Mawson,<->,nm6494289,Paul McQuaid,1
nm4185929__nm6494289,nm4185929,Matthew Winters,<->,nm6494289,Paul McQuaid,1
nm2933832__nm3070182,nm2933832,Tom Elgin,<->,nm3070182,Aaron Pushkar,1
nm2913438__nm2914356,nm2913438,Vibha Chhibber,<->,nm2914356,Karuna Pandey,1
nm10212707__nm6473517,nm10212707,Jamie Smith-Bonham,<->,nm6473517,James Lewis Letteri,1
nm6473514__nm6473517,nm6473514,Lynna Premo Cuneo,<->,nm6473517,James Lewis Letteri,1
nm10212707__nm6473514,nm10212707,Jamie Smith-Bonham,<->,nm6473514,Lynna Premo Cuneo,1
nm11440820__nm7414957,nm11440820,Kogarashi Wakasugi,<->,nm7414957,Akiko Iwase,1
nm1605049__nm7414957,nm1605049,Katherine Jenkins,<->,nm7414957,Akiko Iwase,1
nm11440820__nm1605049,nm11440820,Kogarashi Wakasugi,<->,nm1605049,Katherine Jenkins,1
nm3736034__nm9711810,nm3736034,Saurabh Agnihotri,<->,nm9711810,Anil Reji,1
nm10268092__nm10268093,nm10268092,Nathan Gray,<->,nm10268093,Martin Singer,1
nm10268092__nm10268094,nm10268092,Nathan Gray,<->,nm10268094,Charlie Suntress,1
nm10268093__nm10268094,nm10268093,Martin Singer,<->,nm10268094,Charlie Suntress,1
