uid,left_actor_id,left_actor_name,<->,right_actor_id,right_actor_name,weight
nm0000212__nm0000630,nm0000212,Meg Ryan,<->,nm0000630,Liev Schreiber,1
nm0000212__nm0005227,nm0000212,Meg Ryan,<->,nm0005227,Breckin Meyer,1
nm0000212__nm0413168,nm0000212,Meg Ryan,<->,nm0413168,Hugh Jackman,1
nm0000212__nm0000473,nm0000212,Meg Ryan,<->,nm0000473,Diane Keaton,1
nm0000212__nm0000527,nm0000212,Meg Ryan,<->,nm0000527,Walter Matthau,1
nm0000212__nm0001435,nm0000212,Meg Ryan,<->,nm0001435,Lisa Kudrow,1
nm0000212__nm0000492,nm0000212,Meg Ryan,<->,nm0000492,Jennifer Jason Leigh,1
nm0000212__nm0749263,nm0000212,Meg Ryan,<->,nm0749263,Mark Ruffalo,1
nm0000212__nm1476796,nm0000212,Meg Ryan,<->,nm1476796,Michael Nuccio,1
nm0000128__nm0000212,nm0000128,Russell Crowe,<->,nm0000212,Meg Ryan,1
nm0000212__nm0001556,nm0000212,Meg Ryan,<->,nm0001556,David Morse,1
nm0000212__nm0715622,nm0000212,Meg Ryan,<->,nm0715622,Pamela Reed,1
nm0000212__nm0001165,nm0000212,Meg Ryan,<->,nm0001165,Charles S. Dutton,1
nm0000212__nm0001724,nm0000212,Meg Ryan,<->,nm0001724,Tony Shalhoub,1
nm0000212__nm0004898,nm0000212,Meg Ryan,<->,nm0004898,Omar Epps,1
nm0000212__nm0025745,nm0000212,Meg Ryan,<->,nm0025745,Elena Anaya,1
nm0000212__nm0111013,nm0000212,Meg Ryan,<->,nm0111013,Adam Brody,1
nm0000212__nm0829576,nm0000212,Meg Ryan,<->,nm0829576,Kristen Stewart,1
nm0000212__nm0000906,nm0000212,Meg Ryan,<->,nm0000906,Annette Bening,1
nm0000212__nm0005226,nm0000212,Meg Ryan,<->,nm0005226,Debra Messing,1
nm0000212__nm0578949,nm0000212,Meg Ryan,<->,nm0578949,Eva Mendes,1
nm0000104__nm0000212,nm0000104,Antonio Banderas,<->,nm0000212,Meg Ryan,1
nm0000212__nm0004757,nm0000212,Meg Ryan,<->,nm0004757,Selma Blair,1
nm0000212__nm0004988,nm0000212,Meg Ryan,<->,nm0004988,Colin Hanks,1
nm0000212__nm0000513,nm0000212,Meg Ryan,<->,nm0000513,William H. Macy,1
nm0000212__nm0001285,nm0000212,Meg Ryan,<->,nm0001285,Elliott Gould,1
nm0000212__nm0005112,nm0000212,Meg Ryan,<->,nm0005112,LL Cool J,1
nm0000212__nm0000459,nm0000212,Meg Ryan,<->,nm0000459,Timothy Hutton,1
nm0000212__nm0068338,nm0000212,Meg Ryan,<->,nm0068338,Kristen Bell,1
nm0000212__nm0519043,nm0000212,Meg Ryan,<->,nm0519043,Justin Long,1
nm0000212__nm0001731,nm0000212,Meg Ryan,<->,nm0001731,Sam Shepard,1
nm0000212__nm0512934,nm0000212,Meg Ryan,<->,nm0512934,Hamish Linklater,1
nm0000212__nm2614237,nm0000212,Meg Ryan,<->,nm2614237,Alex Neustaedter,1
nm0000630__nm0413168,nm0000630,Liev Schreiber,<->,nm0413168,Hugh Jackman,2
nm0005227__nm0413168,nm0005227,Breckin Meyer,<->,nm0413168,Hugh Jackman,1
nm0000463__nm0413168,nm0000463,Famke Janssen,<->,nm0413168,Hugh Jackman,2
nm0001772__nm0413168,nm0001772,Patrick Stewart,<->,nm0413168,Hugh Jackman,5
nm0005212__nm0413168,nm0005212,Ian McKellen,<->,nm0413168,Hugh Jackman,4
nm0000237__nm0413168,nm0000237,John Travolta,<->,nm0413168,Hugh Jackman,1
nm0000332__nm0413168,nm0000332,Don Cheadle,<->,nm0413168,Hugh Jackman,1
nm0000932__nm0413168,nm0000932,Halle Berry,<->,nm0413168,Hugh Jackman,3
nm0000295__nm0413168,nm0000295,Kate Beckinsale,<->,nm0413168,Hugh Jackman,1
nm0378175__nm0413168,nm0378175,Shuler Hensley,<->,nm0413168,Hugh Jackman,1
nm0413168__nm0746896,nm0413168,Hugh Jackman,<->,nm0746896,Richard Roxburgh,1
nm0000245__nm0413168,nm0000245,Robin Williams,<->,nm0413168,Hugh Jackman,1
nm0000704__nm0413168,nm0000704,Elijah Wood,<->,nm0413168,Hugh Jackman,1
nm0005261__nm0413168,nm0005261,Brittany Murphy,<->,nm0413168,Hugh Jackman,1
nm0000995__nm0413168,nm0000995,Ellen Burstyn,<->,nm0413168,Hugh Jackman,1
nm0001838__nm0413168,nm0001838,Rachel Weisz,<->,nm0413168,Hugh Jackman,1
nm0413168__nm0859503,nm0413168,Hugh Jackman,<->,nm0859503,Sean Patrick Thomas,1
nm0000606__nm0413168,nm0000606,Jean Reno,<->,nm0413168,Hugh Jackman,1
nm0000701__nm0413168,nm0000701,Kate Winslet,<->,nm0413168,Hugh Jackman,1
nm0413168__nm1107001,nm0413168,Hugh Jackman,<->,nm1107001,Anthony Mackie,1
nm0413168__nm1431940,nm0413168,Hugh Jackman,<->,nm1431940,Evangeline Lilly,1
nm0413168__nm2023672,nm0413168,Hugh Jackman,<->,nm2023672,Dakota Goyo,1
nm0000173__nm0413168,nm0000173,Nicole Kidman,<->,nm0413168,Hugh Jackman,1
nm0011354__nm0413168,nm0011354,Shea Adams,<->,nm0413168,Hugh Jackman,1
nm0413168__nm1812267,nm0413168,Hugh Jackman,<->,nm1812267,Eddie Baroo,1
nm0061106__nm0413168,nm0061106,Robert Bathurst,<->,nm0413168,Hugh Jackman,1
nm0242319__nm0413168,nm0242319,Jim Dunk,<->,nm0413168,Hugh Jackman,1
nm0413168__nm0424060,nm0413168,Hugh Jackman,<->,nm0424060,Scarlett Johansson,2
nm0005351__nm0413168,nm0005351,Ryan Reynolds,<->,nm0413168,Hugh Jackman,1
nm0396812__nm0413168,nm0396812,Danny Huston,<->,nm0413168,Hugh Jackman,1
nm0000288__nm0413168,nm0000288,Christian Bale,<->,nm0413168,Hugh Jackman,1
nm0000323__nm0413168,nm0000323,Michael Caine,<->,nm0413168,Hugh Jackman,1
nm0000191__nm0413168,nm0000191,Ewan McGregor,<->,nm0413168,Hugh Jackman,1
nm0022883__nm0413168,nm0022883,Bruce Altman,<->,nm0413168,Hugh Jackman,1
nm0413168__nm0931329,nm0413168,Hugh Jackman,<->,nm0931329,Michelle Williams,2
nm0366846__nm0413168,nm0366846,Jo Hartley,<->,nm0413168,Hugh Jackman,1
nm0413168__nm5473782,nm0413168,Hugh Jackman,<->,nm5473782,Taron Egerton,1
nm0413168__nm8030441,nm0413168,Hugh Jackman,<->,nm8030441,Tom Costello,1
nm0205626__nm0413168,nm0205626,Viola Davis,<->,nm0413168,Hugh Jackman,1
nm0350453__nm0413168,nm0350453,Jake Gyllenhaal,<->,nm0413168,Hugh Jackman,1
nm0413168__nm0502425,nm0413168,Hugh Jackman,<->,nm0502425,Melissa Leo,1
nm0413168__nm0498449,nm0413168,Hugh Jackman,<->,nm0498449,Will Yun Lee,1
nm0413168__nm3822462,nm0413168,Hugh Jackman,<->,nm3822462,Rila Fukushima,1
nm0413168__nm5148840,nm0413168,Hugh Jackman,<->,nm5148840,Tao Okamoto,1
nm0000164__nm0413168,nm0000164,Anthony Hopkins,<->,nm0413168,Hugh Jackman,1
nm0000368__nm0413168,nm0000368,Laura Dern,<->,nm0413168,Hugh Jackman,1
nm0413168__nm3948952,nm0413168,Hugh Jackman,<->,nm3948952,Vanessa Kirby,1
nm0000285__nm0413168,nm0000285,Alec Baldwin,<->,nm0413168,Hugh Jackman,1
nm0279545__nm0413168,nm0279545,Isla Fisher,<->,nm0413168,Hugh Jackman,1
nm0413168__nm1517976,nm0413168,Hugh Jackman,<->,nm1517976,Chris Pine,1
nm0413168__nm1374980,nm0413168,Hugh Jackman,<->,nm1374980,Zac Efron,1
nm0413168__nm3918035,nm0413168,Hugh Jackman,<->,nm3918035,Zendaya,1
nm0000128__nm0413168,nm0000128,Russell Crowe,<->,nm0413168,Hugh Jackman,1
nm0004266__nm0413168,nm0004266,Anne Hathaway,<->,nm0413168,Hugh Jackman,1
nm0413168__nm1086543,nm0413168,Hugh Jackman,<->,nm1086543,Amanda Seyfried,1
nm0000244__nm0413168,nm0000244,Sigourney Weaver,<->,nm0413168,Hugh Jackman,1
nm0413168__nm1663205,nm0413168,Hugh Jackman,<->,nm1663205,Sharlto Copley,1
nm0413168__nm2353862,nm0413168,Hugh Jackman,<->,nm2353862,Dev Patel,1
nm0413168__nm0564215,nm0413168,Hugh Jackman,<->,nm0564215,James McAvoy,1
nm0193295__nm0413168,nm0193295,Cliff Curtis,<->,nm0413168,Hugh Jackman,1
nm0272581__nm0413168,nm0272581,Rebecca Ferguson,<->,nm0413168,Hugh Jackman,1
nm0413168__nm0628601,nm0413168,Hugh Jackman,<->,nm0628601,Thandiwe Newton,1
nm0413168__nm2933542,nm0413168,Hugh Jackman,<->,nm2933542,Boyd Holbrook,1
nm0413168__nm6748436,nm0413168,Hugh Jackman,<->,nm6748436,Dafne Keen,1
nm0413168__nm1330560,nm0413168,Hugh Jackman,<->,nm1330560,Garrett Hedlund,1
nm0413168__nm1913734,nm0413168,Hugh Jackman,<->,nm1913734,Rooney Mara,1
nm0413168__nm5920962,nm0413168,Hugh Jackman,<->,nm5920962,Levi Miller,1
nm0000410__nm0413168,nm0000410,Stephen Fry,<->,nm0413168,Hugh Jackman,1
nm0413168__nm0524240,nm0413168,Hugh Jackman,<->,nm0524240,Matt Lucas,1
nm0413168__nm0909144,nm0413168,Hugh Jackman,<->,nm0909144,David Walliams,1
nm0267812__nm0413168,nm0267812,Vera Farmiga,<->,nm0413168,Hugh Jackman,1
nm0413168__nm0799777,nm0413168,Hugh Jackman,<->,nm0799777,J.K. Simmons,1
nm0413168__nm1975628,nm0413168,Hugh Jackman,<->,nm1975628,Mark O'Brien,1
nm0005049__nm0413168,nm0005049,Allison Janney,<->,nm0413168,Hugh Jackman,1
nm0005380__nm0413168,nm0005380,Ray Romano,<->,nm0413168,Hugh Jackman,1
nm0413168__nm0925578,nm0413168,Hugh Jackman,<->,nm0925578,Welker White,1
nm0000630__nm0005227,nm0000630,Liev Schreiber,<->,nm0005227,Breckin Meyer,1
nm0000117__nm0000630,nm0000117,Neve Campbell,<->,nm0000630,Liev Schreiber,1
nm0000274__nm0000630,nm0000274,David Arquette,<->,nm0000630,Liev Schreiber,1
nm0000630__nm0001073,nm0000630,Liev Schreiber,<->,nm0001073,Courteney Cox,1
nm0000156__nm0000630,nm0000156,Jeff Goldblum,<->,nm0000630,Liev Schreiber,1
nm0000630__nm0001439,nm0000630,Liev Schreiber,<->,nm0001439,Anthony LaPaglia,2
nm0000630__nm0472928,nm0000630,Liev Schreiber,<->,nm0472928,Boris Lee Krutonog,1
nm0000243__nm0000630,nm0000243,Denzel Washington,<->,nm0000630,Liev Schreiber,1
nm0000630__nm0000658,nm0000630,Liev Schreiber,<->,nm0000658,Meryl Streep,1
nm0000630__nm0253708,nm0000630,Liev Schreiber,<->,nm0253708,Kimberly Elise,1
nm0000630__nm0001570,nm0000630,Liev Schreiber,<->,nm0001570,Edward Norton,1
nm0000630__nm0915208,nm0000630,Liev Schreiber,<->,nm0915208,Naomi Watts,1
nm0000630__nm2474010,nm0000630,Liev Schreiber,<->,nm2474010,Catherine An,1
nm0000630__nm0005351,nm0000630,Liev Schreiber,<->,nm0005351,Ryan Reynolds,1
nm0000630__nm0396812,nm0000630,Liev Schreiber,<->,nm0396812,Danny Huston,2
nm0000630__nm0000667,nm0000630,Liev Schreiber,<->,nm0000667,David Thewlis,1
nm0000630__nm0005466,nm0000630,Liev Schreiber,<->,nm0005466,Julia Stiles,1
nm0000630__nm2089090,nm0000630,Liev Schreiber,<->,nm2089090,Seamus Davey-Fitzpatrick,1
nm0000630__nm0001670,nm0000630,Liev Schreiber,<->,nm0001670,Natasha Richardson,1
nm0000630__nm0097842,nm0000630,Liev Schreiber,<->,nm0097842,Philip Bosco,1
nm0000630__nm0908919,nm0000630,Liev Schreiber,<->,nm0908919,Eli Wallach,1
nm0000630__nm0001401,nm0000630,Liev Schreiber,<->,nm0001401,Angelina Jolie,1
nm0000630__nm0252230,nm0000630,Liev Schreiber,<->,nm0252230,Chiwetel Ejiofor,1
nm0000630__nm0646037,nm0000630,Liev Schreiber,<->,nm0646037,Daniel Olbrychski,1
nm0000630__nm0068260,nm0000630,Liev Schreiber,<->,nm0068260,Jamie Bell,1
nm0000630__nm0185819,nm0000630,Liev Schreiber,<->,nm0185819,Daniel Craig,1
nm0000630__nm1111968,nm0000630,Liev Schreiber,<->,nm1111968,Alexa Davalos,1
nm0000179__nm0000630,nm0000179,Jude Law,<->,nm0000630,Liev Schreiber,1
nm0000630__nm0001845,nm0000630,Liev Schreiber,<->,nm0001845,Forest Whitaker,1
nm0000630__nm0103797,nm0000630,Liev Schreiber,<->,nm0103797,Alice Braga,1
nm0000166__nm0000630,nm0000166,Helen Hunt,<->,nm0000630,Liev Schreiber,1
nm0000630__nm0001303,nm0000630,Liev Schreiber,<->,nm0001303,Carla Gugino,1
nm0000630__nm3009232,nm0000630,Liev Schreiber,<->,nm3009232,Ezra Miller,1
nm0000152__nm0000630,nm0000152,Richard Gere,<->,nm0000630,Liev Schreiber,1
nm0000630__nm0580351,nm0000630,Liev Schreiber,<->,nm0580351,Stephen Merchant,1
nm0000630__nm1297015,nm0000630,Liev Schreiber,<->,nm1297015,Emma Stone,1
nm0000630__nm0001497,nm0000630,Liev Schreiber,<->,nm0001497,Tobey Maguire,1
nm0000630__nm0765597,nm0000630,Liev Schreiber,<->,nm0765597,Peter Sarsgaard,2
nm0000630__nm0836121,nm0000630,Liev Schreiber,<->,nm0836121,Michael Stuhlbarg,1
nm0000630__nm0001057,nm0000630,Liev Schreiber,<->,nm0001057,Toni Collette,1
nm0000630__nm0316805,nm0000630,Liev Schreiber,<->,nm0316805,Rebecca Gibney,1
nm0000480__nm0000630,nm0000480,Elias Koteas,<->,nm0000630,Liev Schreiber,1
nm0000630__nm0304801,nm0000630,Liev Schreiber,<->,nm0304801,Romola Garai,1
nm0000630__nm0931404,nm0000630,Liev Schreiber,<->,nm0931404,Olivia Williams,1
nm0000474__nm0000630,nm0000474,Michael Keaton,<->,nm0000630,Liev Schreiber,1
nm0000630__nm0749263,nm0000630,Liev Schreiber,<->,nm0749263,Mark Ruffalo,1
nm0000630__nm1046097,nm0000630,Liev Schreiber,<->,nm1046097,Rachel McAdams,1
nm0000456__nm0000630,nm0000456,Holly Hunter,<->,nm0000630,Liev Schreiber,1
nm0000513__nm0000630,nm0000513,William H. Macy,<->,nm0000630,Liev Schreiber,1
nm0000630__nm0683467,nm0000630,Liev Schreiber,<->,nm0683467,Alison Pill,2
nm0000630__nm0000662,nm0000630,Liev Schreiber,<->,nm0000662,Kiefer Sutherland,1
nm0000630__nm0005028,nm0000630,Liev Schreiber,<->,nm0005028,Kate Hudson,1
nm0000630__nm1981893,nm0000630,Liev Schreiber,<->,nm1981893,Riz Ahmed,1
nm0000630__nm0000675,nm0000630,Liev Schreiber,<->,nm0000675,Jeanne Tripplehorn,1
nm0000630__nm0001221,nm0000630,Liev Schreiber,<->,nm0001221,Louise Fletcher,1
nm0000630__nm0141710,nm0000630,Liev Schreiber,<->,nm0141710,Joelle Carter,1
nm0000630__nm0005405,nm0000630,Liev Schreiber,<->,nm0005405,Seann William Scott,1
nm0000630__nm0343082,nm0000630,Liev Schreiber,<->,nm0343082,Marc-André Grondin,1
nm0000630__nm0155693,nm0000630,Liev Schreiber,<->,nm0155693,Kristin Chenoweth,1
nm0000630__nm0671567,nm0000630,Liev Schreiber,<->,nm0671567,Michael Peña,1
nm0000630__nm1289434,nm0000630,Liev Schreiber,<->,nm1289434,Emily Blunt,1
nm0000630__nm0408234,nm0000630,Liev Schreiber,<->,nm0408234,Sabrina Impacciatore,1
nm0000630__nm1242688,nm0000630,Liev Schreiber,<->,nm1242688,Josh Hutcherson,1
nm0000630__nm1102577,nm0000630,Liev Schreiber,<->,nm1102577,Elle Fanning,1
nm0000630__nm1378410,nm0000630,Liev Schreiber,<->,nm1378410,Suzanne Smith,1
nm0000630__nm3154303,nm0000630,Liev Schreiber,<->,nm3154303,Timothée Chalamet,1
nm0000630__nm0000673,nm0000630,Liev Schreiber,<->,nm0000673,Marisa Tomei,1
nm0000630__nm1638321,nm0000630,Liev Schreiber,<->,nm1638321,Maya Hawke,1
nm0005227__nm0005405,nm0005227,Breckin Meyer,<->,nm0005405,Seann William Scott,1
nm0005227__nm0005442,nm0005227,Breckin Meyer,<->,nm0005442,Amy Smart,2
nm0005227__nm0182455,nm0005227,Breckin Meyer,<->,nm0182455,Paulo Costanzo,1
nm0000155__nm0005227,nm0000155,Whoopi Goldberg,<->,nm0005227,Breckin Meyer,1
nm0005227__nm0896735,nm0005227,Breckin Meyer,<->,nm0896735,Vince Vieluf,1
nm0000195__nm0005227,nm0000195,Bill Murray,<->,nm0005227,Breckin Meyer,1
nm0001349__nm0005227,nm0001349,Jennifer Love Hewitt,<->,nm0005227,Breckin Meyer,1
nm0005227__nm0864997,nm0005227,Breckin Meyer,<->,nm0864997,Stephen Tobolowsky,1
nm0001454__nm0005227,nm0001454,Martin Lawrence,<->,nm0005227,Breckin Meyer,1
nm0005227__nm0005259,nm0005227,Breckin Meyer,<->,nm0005259,Megan Mullally,1
nm0005227__nm0733185,nm0005227,Breckin Meyer,<->,nm0733185,Wendy Raquel Robinson,1
nm0000474__nm0005227,nm0000474,Michael Keaton,<->,nm0005227,Breckin Meyer,1
nm0005227__nm0385644,nm0005227,Breckin Meyer,<->,nm0385644,Cheryl Hines,1
nm0005227__nm0517820,nm0005227,Breckin Meyer,<->,nm0517820,Lindsay Lohan,1
nm0005227__nm0364977,nm0005227,Breckin Meyer,<->,nm0364977,Laura Harris,1
nm0005227__nm3044199,nm0005227,Breckin Meyer,<->,nm3044199,Scarlett Taylor,1
nm0005227__nm3044324,nm0005227,Breckin Meyer,<->,nm3044324,Rubylou Taylor,1
nm0001593__nm0005227,nm0001593,Anna Paquin,<->,nm0005227,Breckin Meyer,1
nm0005227__nm0085635,nm0005227,Breckin Meyer,<->,nm0085635,Richard Blackburn,1
nm0005227__nm0470870,nm0005227,Breckin Meyer,<->,nm0470870,Joyce Krenz,1
nm0005227__nm0005416,nm0005227,Breckin Meyer,<->,nm0005416,Vinessa Shaw,1
nm0005227__nm0012078,nm0005227,Breckin Meyer,<->,nm0012078,Scott Adkins,1
nm0005227__nm0661164,nm0005227,Breckin Meyer,<->,nm0661164,Kip Pardue,1
nm0005227__nm0140755,nm0005227,Breckin Meyer,<->,nm0140755,Bryant Carroll,1
nm0005227__nm2782162,nm0005227,Breckin Meyer,<->,nm2782162,Emily Kinney,1
nm0005227__nm5338034,nm0005227,Breckin Meyer,<->,nm5338034,Giselle Eisenberg,1
nm0000346__nm0005227,nm0000346,Macaulay Culkin,<->,nm0005227,Breckin Meyer,1
nm0001293__nm0005227,nm0001293,Seth Green,<->,nm0005227,Breckin Meyer,1
nm0005227__nm0814259,nm0005227,Breckin Meyer,<->,nm0814259,Brenda Song,1
nm0329491__nm0864851,nm0329491,John Goodwin,<->,nm0864851,Kenneth Tobey,1
nm0828288__nm0864851,nm0828288,Brinke Stevens,<->,nm0864851,Kenneth Tobey,1
nm0864851__nm0933983,nm0864851,Kenneth Tobey,<->,nm0933983,R.G. Wilson,1
nm0329491__nm0828288,nm0329491,John Goodwin,<->,nm0828288,Brinke Stevens,1
nm0828288__nm0933983,nm0828288,Brinke Stevens,<->,nm0933983,R.G. Wilson,1
nm0180165__nm0828288,nm0180165,Michael Cornelison,<->,nm0828288,Brinke Stevens,1
nm0184414__nm0828288,nm0184414,Larry Coven,<->,nm0828288,Brinke Stevens,1
nm0501317__nm0828288,nm0501317,Rachel Lemieux,<->,nm0828288,Brinke Stevens,1
nm0828288__nm1045572,nm0828288,Brinke Stevens,<->,nm1045572,Chadrick Hoch,1
nm0828288__nm2339713,nm0828288,Brinke Stevens,<->,nm2339713,Tom Keane,1
nm0004193__nm0828288,nm0004193,Debbie Rochon,<->,nm0828288,Brinke Stevens,1
nm0334106__nm0828288,nm0334106,Jeff Dylan Graham,<->,nm0828288,Brinke Stevens,2
nm0341841__nm0828288,nm0341841,Robyn Griggs,<->,nm0828288,Brinke Stevens,1
nm0819908__nm0828288,nm0819908,Eric Spudic,<->,nm0828288,Brinke Stevens,1
nm0828288__nm1420053,nm0828288,Brinke Stevens,<->,nm1420053,Lucien Eisenach,1
nm0828288__nm1833455,nm0828288,Brinke Stevens,<->,nm1833455,Jeff Samford,1
nm0828288__nm2360286,nm0828288,Brinke Stevens,<->,nm2360286,William Riordan,1
nm0828288__nm1294163,nm0828288,Brinke Stevens,<->,nm1294163,Michael J. Panichelli Jr.,1
nm0828288__nm2281974,nm0828288,Brinke Stevens,<->,nm2281974,Paul McCloskey,3
nm0828288__nm2384461,nm0828288,Brinke Stevens,<->,nm2384461,Barbara Lessin,2
nm0640621__nm0828288,nm0640621,Judith O'Dea,<->,nm0828288,Brinke Stevens,2
nm0828288__nm2044632,nm0828288,Brinke Stevens,<->,nm2044632,Sacha Sacket,1
nm0828288__nm2401091,nm0828288,Brinke Stevens,<->,nm2401091,Lloyd Pedersen,1
nm0828288__nm2383643,nm0828288,Brinke Stevens,<->,nm2383643,Bruce DeSantis,1
nm0052410__nm0828288,nm0052410,Reggie Bannister,<->,nm0828288,Brinke Stevens,1
nm0261724__nm0828288,nm0261724,Joe Estevez,<->,nm0828288,Brinke Stevens,1
nm0828288__nm2107082,nm0828288,Brinke Stevens,<->,nm2107082,Aly Hartman,1
nm0323372__nm0828288,nm0323372,Tamara Glynn,<->,nm0828288,Brinke Stevens,2
nm0828288__nm3046228,nm0828288,Brinke Stevens,<->,nm3046228,Billy Blair,1
nm0828288__nm8395421,nm0828288,Brinke Stevens,<->,nm8395421,Johnny Ray Gibbs,1
nm0483540__nm0828288,nm0483540,Donn Lamkin,<->,nm0828288,Brinke Stevens,1
nm0828288__nm11247994,nm0828288,Brinke Stevens,<->,nm11247994,James Gibbs,1
nm0828288__nm2336615,nm0828288,Brinke Stevens,<->,nm2336615,Zachary Vazquez,1
nm0828288__nm6186230,nm0828288,Brinke Stevens,<->,nm6186230,Taylor Autumn Bertman,1
nm0828288__nm6884420,nm0828288,Brinke Stevens,<->,nm6884420,Kinsey Krutzler,1
nm0828288__nm8284186,nm0828288,Brinke Stevens,<->,nm8284186,Cole Berry,1
nm0828288__nm8877608,nm0828288,Brinke Stevens,<->,nm8877608,Kelly Paxton,1
nm0741378__nm0828288,nm0741378,Felissa Rose,<->,nm0828288,Brinke Stevens,2
nm0828288__nm0996586,nm0828288,Brinke Stevens,<->,nm0996586,Dave Campfield,1
nm0828288__nm2839035,nm0828288,Brinke Stevens,<->,nm2839035,Paul Chomicki,1
nm0262520__nm0828288,nm0262520,Alana Evans,<->,nm0828288,Brinke Stevens,1
nm0636893__nm0828288,nm0636893,Mel Novak,<->,nm0828288,Brinke Stevens,3
nm0828288__nm3025400,nm0828288,Brinke Stevens,<->,nm3025400,Shawn C. Phillips,2
nm0828288__nm3527272,nm0828288,Brinke Stevens,<->,nm3527272,Jennifer Nangle,3
nm0828288__nm5035040,nm0828288,Brinke Stevens,<->,nm5035040,Erik Anthony Russo,1
nm0828288__nm5560956,nm0828288,Brinke Stevens,<->,nm5560956,Sheri Davis,3
nm0828288__nm8099914,nm0828288,Brinke Stevens,<->,nm8099914,Ken May,2
nm0828288__nm8279086,nm0828288,Brinke Stevens,<->,nm8279086,Mike Ferguson,1
nm0828288__nm2766218,nm0828288,Brinke Stevens,<->,nm2766218,Julie Anne Prescott,2
nm0000292__nm0828288,nm0000292,Michelle Bauer,<->,nm0828288,Brinke Stevens,3
nm0549526__nm0828288,nm0549526,Kelli Maroney,<->,nm0828288,Brinke Stevens,1
nm0828288__nm4706392,nm0828288,Brinke Stevens,<->,nm4706392,Audrey Neal,1
nm0828288__nm1290447,nm0828288,Brinke Stevens,<->,nm1290447,Vida Ghaffari,1
nm0828288__nm1569520,nm0828288,Brinke Stevens,<->,nm1569520,Traci Burr,1
nm0828288__nm1667332,nm0828288,Brinke Stevens,<->,nm1667332,John R. Walker,1
nm0828288__nm4142280,nm0828288,Brinke Stevens,<->,nm4142280,Eric Larsen,1
nm0828288__nm8356058,nm0828288,Brinke Stevens,<->,nm8356058,Clint Beaver,2
nm0828288__nm2387795,nm0828288,Brinke Stevens,<->,nm2387795,James Arthur Lewis,1
nm0828288__nm2407427,nm0828288,Brinke Stevens,<->,nm2407427,Sarah Sid,1
nm0828288__nm2672849,nm0828288,Brinke Stevens,<->,nm2672849,Brian Whisman,1
nm0828288__nm12014890,nm0828288,Brinke Stevens,<->,nm12014890,Raws Schlesinger,1
nm0828288__nm3148014,nm0828288,Brinke Stevens,<->,nm3148014,Dawna Lee Heising,3
nm0828288__nm1015793,nm0828288,Brinke Stevens,<->,nm1015793,Darcey Vanderhoef,4
nm0828288__nm1016534,nm0828288,Brinke Stevens,<->,nm1016534,Sy Stevens,1
nm0630524__nm0828288,nm0630524,Greg Nicotero,<->,nm0828288,Brinke Stevens,1
nm0734503__nm0828288,nm0734503,James-Michael Roddy,<->,nm0828288,Brinke Stevens,1
nm0828288__nm11954056,nm0828288,Brinke Stevens,<->,nm11954056,Danielle Lang,1
nm0828288__nm2233462,nm0828288,Brinke Stevens,<->,nm2233462,Elissa Dowling,2
nm0828288__nm7201964,nm0828288,Brinke Stevens,<->,nm7201964,Steve Larkin,1
nm0828288__nm7394721,nm0828288,Brinke Stevens,<->,nm7394721,Sanae Loutsis,1
nm0120494__nm0828288,nm0120494,Robert Z'Dar,<->,nm0828288,Brinke Stevens,1
nm0828288__nm3141959,nm0828288,Brinke Stevens,<->,nm3141959,Mark Cray,2
nm0828288__nm3230874,nm0828288,Brinke Stevens,<->,nm3230874,Devin Kates,1
nm0355428__nm0828288,nm0355428,Cleve Hall,<->,nm0828288,Brinke Stevens,1
nm0828288__nm1891137,nm0828288,Brinke Stevens,<->,nm1891137,Nick Principe,1
nm0828288__nm4466306,nm0828288,Brinke Stevens,<->,nm4466306,Lisa M. Garcia,1
nm0227084__nm0828288,nm0227084,Karen Dilloo,<->,nm0828288,Brinke Stevens,2
nm0365406__nm0828288,nm0365406,Tonya L. Harris,<->,nm0828288,Brinke Stevens,1
nm0791898__nm0828288,nm0791898,Tiffany Shepis,<->,nm0828288,Brinke Stevens,2
nm0828288__nm3419645,nm0828288,Brinke Stevens,<->,nm3419645,Mariana Evans,1
nm0828288__nm3702196,nm0828288,Brinke Stevens,<->,nm3702196,Jocelyn Padilla,1
nm0828288__nm4100980,nm0828288,Brinke Stevens,<->,nm4100980,Nicole Lasala,1
nm0828288__nm4140484,nm0828288,Brinke Stevens,<->,nm4140484,Ryan Boudreau,1
nm0666735__nm0828288,nm0666735,Tina Ona Paukstelis,<->,nm0828288,Brinke Stevens,1
nm0828288__nm0943938,nm0828288,Brinke Stevens,<->,nm0943938,Michael L. Wynhoff,1
nm0828288__nm14064950,nm0828288,Brinke Stevens,<->,nm14064950,Aurelia Despin,1
nm0828288__nm5226514,nm0828288,Brinke Stevens,<->,nm5226514,Michael Manfredo Jr.,1
nm0828288__nm2290733,nm0828288,Brinke Stevens,<->,nm2290733,Arielle Brachfeld,2
nm0828288__nm4666732,nm0828288,Brinke Stevens,<->,nm4666732,Jennii Caroline,1
nm0828288__nm5891746,nm0828288,Brinke Stevens,<->,nm5891746,Brandyn Christians,1
nm0828288__nm5891747,nm0828288,Brinke Stevens,<->,nm5891747,Desiree Folsom,1
nm0779255__nm0828288,nm0779255,Nihilist Gelo,<->,nm0828288,Brinke Stevens,1
nm0828288__nm2440492,nm0828288,Brinke Stevens,<->,nm2440492,Sarah Nicklin,1
