actor_id,actor_name
nm0000608,Burt Reynolds
nm0940158,Bokeem Woodbine
nm0715953,Roger Rees
nm0682399,Justin Pierce
nm0461355,Sascha Knopf
nm0000379,Kirsten Dunst
nm0040472,William Atherton
nm0266631,Debbie Fan
nm0531095,Eric Mabius
nm0000242,Mark Wahlberg
nm0000619,Tim Roth
nm0003817,Michael Clarke Duncan
nm0330687,Joseph Gordon-Levitt
nm0000668,Emma Thompson
nm0001737,Martin Short
nm0001975,Roscoe Lee Browne
nm0320547,Carmine Giovinazzo
nm0274371,Louis Ferreira
nm0000947,Karen Black
nm0648846,Peter Onorati
nm0000274,David Arquette
nm0000117,Neve Campbell
nm0001073,Courteney Cox
nm0507271,Huey Lewis
nm0000569,Gwyneth Paltrow
nm0316079,Paul Giamatti
nm0105672,Andre Braugher
nm0593664,Radha Mitchell
nm0369513,Cole Hauser
nm0004874,Vin Diesel
nm0202966,Keith David
nm0000652,James Spader
nm0004906,Peter Facinelli
nm0000677,Robin Tunney
nm0000291,Angela Bassett
nm0380231,Blake Heron
nm0553436,A Martinez
nm0575184,Russell Means
nm0836071,Wes Studi
nm0001606,Chris Penn
nm0942482,Jeffrey Wright
nm0220867,Anthony DeSando
nm0000145,Sherilyn Fenn
nm0000123,George Clooney
nm0001876,Catherine Zeta-Jones
nm0000671,Billy Bob Thornton
nm0000177,Kevin Kline
nm0000110,Kenneth Branagh
nm0001609,Rosie Perez
nm0000800,Armand Assante
nm0562924,Whitman Mayo
nm0333318,April Grace
nm0245652,Cordereau Dye
nm0001618,Joaquin Phoenix
nm0000234,Charlize Theron
nm0001001,James Caan
nm0000449,Natasha Henstridge
nm0890232,Michael Vartan
nm0728346,Michael Rispoli
nm0001882,Olivia d'Abo
nm0000243,Denzel Washington
nm0000160,Ethan Hawke
nm0001277,Scott Glenn
nm0000297,Tom Berenger
nm0001016,David Carradine
nm0540585,Michael Maloney
nm0000446,Mariel Hemingway
nm0195672,Marina Anderson
nm0497621,Julie Lee
nm0000514,Michael Madsen
nm0846480,Cary-Hiroyuki Tagawa
nm0368745,Richard Hatch
nm0000886,Warren Beatty
nm0000473,Diane Keaton
nm0000176,Nastassja Kinski
nm0000443,Goldie Hawn
nm0000190,Matthew McConaughey
nm0000200,Bill Paxton
nm0000172,Harvey Keitel
nm0000954,Jon Bon Jovi
nm0000978,Lloyd Bridges
nm0001038,Josh Charles
nm0005547,Alexandra Wentworth
nm0000977,Beau Bridges
nm0000288,Christian Bale
nm0857620,Justin Theroux
nm0524197,Josh Lucas
nm0756083,Bill Sage
nm0000729,Casey Affleck
nm0005561,Luke Wilson
nm0899681,Goran Visnjic
nm0001390,Janet Jackson
nm0588777,Larry Miller
nm0018099,John Ales
nm0025364,Alice Amter
nm0138421,Clint Carmichael
nm0000409,Brendan Fraser
nm0354937,Jennifer Hale
nm0000483,Christopher Lambert
nm0001600,Adrian Paul
nm0668271,Bruce Payne
nm0053887,Lisa Barbuscia
nm0000353,Willem Dafoe
nm0290556,James Franco
nm0000126,Kevin Costner
nm0339304,Bruce Greenwood
nm0238057,Shawn Driscoll
nm0177020,Drake Cook
nm0001401,Angelina Jolie
nm0000685,Jon Voight
nm0322513,Iain Glen
nm0852965,Noah Taylor
nm0000649,Paul Sorvino
nm0878911,Steven Tyler
nm0157915,Nick Chinlund
nm0000529,Debi Mazar
nm0000131,John Cusack
nm0005013,Iben Hjejle
nm0521974,Todd Louiso
nm0085312,Jack Black
nm0569226,Bruce McGill
nm0893204,Diane Venora
nm0341055,Joe Grifasi
nm0556985,Tom Mason
nm0000056,Paul Newman
nm0000400,Linda Fiorentino
nm0000551,Dermot Mulroney
nm0055794,Susan Barnes
nm0004851,Penélope Cruz
nm0001794,Henry Thomas
nm0129583,Angelina Torres
nm0000558,Leslie Nielsen
nm0613147,Lochlyn Munro
nm0029502,Vanessa Angel
nm0001235,William Forsythe
nm0451321,Shah Rukh Khan
nm0706787,Aishwarya Rai Bachchan
nm0802103,Chandrachur Singh
nm2528716,Sharad S. Kapoor
nm0003784,Joe Grisaffi
nm0702712,Anne Quackenbush
nm0467632,Therese Kotara
nm0943961,Garrison Wynn
nm0112915,L.P. Brown III
nm0621008,Charles Napier
nm0001397,Brion James
nm0000798,Linden Ashby
nm0066664,Leslie Bega
nm0236952,Larry Drake
nm0887708,Melvin Van Peebles
nm0000218,Kristin Scott Thomas
nm0000576,Sean Penn
nm0000843,Anne Bancroft
nm0289038,James Fox
nm0440229,Vincent Kartheiser
nm0159668,Chad Christ
nm0802217,Sabine Singh
nm0835840,Richard M. Stuart
nm0005172,Norm MacDonald
nm0152638,Dave Chappelle
nm0834626,Elaine Stritch
nm0000362,Danny DeVito
nm0002101,Robin Givens
nm0429114,Richard T. Jones
nm0724757,Salli Richardson-Whitfield
nm0313416,Eric George
nm0000635,Yahoo Serious
nm0197940,Helen Dallimore
nm0275913,David Field
nm0685221,Grant Piro
nm0005260,Frankie Muniz
nm0000102,Kevin Bacon
nm0000178,Diane Lane
nm0000187,Madonna
nm0000391,Rupert Everett
nm0000973,Benjamin Bratt
nm0001152,Illeana Douglas
nm0816669,Douglas Spain
nm0333888,Aimee Graham
nm0005497,Nicholle Tom
nm0002364,Dante Basco
nm0103038,Jesse Bradford
nm0829390,French Stewart
nm0305519,Paula Garcés
nm0000299,Michael Biehn
nm0000701,Kate Winslet
nm0004787,Saffron Burrows
nm0000562,Jeremy Northam
nm0000532,Malcolm McDowell
nm0000650,Talisa Soto
nm0708873,Bruce Ramsay
nm0574308,Kent McQuaid
nm0528462,Susan Lynch
nm0778831,Andrew Scott
nm0564516,Vinnie McCabe
nm0004692,Mark Addy
nm0000286,Stephen Baldwin
nm0005060,Kristen Johnston
nm0005105,Jane Krakowski
nm0005562,Owen Wilson
nm0532683,Gabriel Macht
nm0925916,Charles Malik Whitfield
nm0011148,Lillian Adams
nm0120648,Cara Buono
nm0004801,Nestor Carbonell
nm0000179,Jude Law
nm0000173,Nicole Kidman
nm0000250,Renée Zellweger
nm0040586,Eileen Atkins
nm1186560,John E. Vitali
nm0086731,Susan Blake
nm1249664,Robert Pascucci
nm0906617,Liam Waite
nm0000792,Tom Arnold
nm0911933,Zack Ward
nm0000240,Skeet Ulrich
nm0005568,Russell Wong
nm0004911,Angela Featherstone
nm0006610,Donal Logue
nm0000648,Wesley Snipes
nm0000661,Donald Sutherland
nm0001999,Maury Chaykin
nm0000271,Anne Archer
nm0005154,Lucy Liu
nm0000195,Bill Murray
nm0751638,James Russo
nm0272224,Heino Ferch
nm0001560,Ornella Muti
nm0905357,Steven Waddington
nm0931404,Olivia Williams
nm0001267,Balthazar Getty
nm0431332,Arly Jover
nm0129071,Jason Cairns
nm0111274,Shane Brolly
nm0000352,Vincent D'Onofrio
nm0000656,Madeleine Stowe
nm0005467,Jerry Stiller
nm0000413,Janeane Garofalo
nm0001611,Max Perlich
nm0001130,Ted Demme
nm0942147,Katharina Wressnig
nm0765597,Peter Sarsgaard
nm0050337,Angeline Ball
nm0523186,Geoffrey Lower
nm0000308,Ernest Borgnine
nm0107281,Eileen Brennan
nm0788947,Jeffrey Sharmat
nm0768217,Stephanie Sawyer
nm0000213,Winona Ryder
nm0001035,Ben Chaplin
nm0944077,Sarah Wynter
nm0001311,Philip Baker Hall
nm0350079,Luis Guzmán
nm0001505,Joe Mantegna
nm0001075,Peter Coyote
nm0001689,Mercedes Ruehl
nm0000155,Whoopi Goldberg
nm0611932,Peter Mullan
nm0226820,Stephen Dillane
nm0048379,David Aaron Baker
nm0005203,Mary McCormack
nm0000330,Stockard Channing
nm0001714,Campbell Scott
nm0000193,Demi Moore
nm0258250,Eloise Eonnet
nm0196718,Hadrian Dagannaud-Brouard
nm1124035,Chaya Cuénot
nm0599715,Dan Montgomery Jr.
nm0657760,Aleksa Palladino
nm0641437,Peg O'Keef
nm0001602,Guy Pearce
nm0001426,Ben Kingsley
nm0918135,Matt Weinberg
nm0297229,Jason Fuchs
nm0000148,Harrison Ford
nm0000201,Michelle Pfeiffer
nm0870007,Katharine Towne
nm0001584,Miranda Otto
nm0001454,Martin Lawrence
nm0000491,John Leguizamo
nm0000444,Glenne Headly
nm0000675,Jeanne Tripplehorn
nm0001629,Kevin Pollak
nm0000158,Tom Hanks
nm0000166,Helen Hunt
nm0584052,Paul Sanchez
nm0925096,Lari White
nm0000114,Steve Buscemi
nm0000301,Thora Birch
nm0424060,Scarlett Johansson
nm0000605,Brad Renfro
nm0001853,Vanessa Williams
nm0000560,Nick Nolte
nm0001447,Nathan Lane
nm0001435,Lisa Kudrow
nm0000527,Walter Matthau
nm0000554,Sam Neill
nm0000495,Téa Leoni
nm0005273,Alessandro Nivola
nm0915989,Hugo Weaving
nm0000092,John Cleese
nm0491136,Michael Laurence
nm0588096,Christa Miller
nm0864997,Stephen Tobolowsky
nm1979918,Lisa Denke
nm0452199,Roland Kickinger
nm0006669,William Sadler
nm0723590,Allan Rich
nm0305182,Eddie Garcia
nm0769444,Jayson Schaal
nm0136286,Brian Card
nm0276062,Todd Field
nm0001729,Craig Sheffer
nm0000838,Daniel Baldwin
nm0919117,Michael T. Weiss
nm0842770,Tilda Swinton
nm0948679,Daniel York
nm0665265,Patcharawan Patarakijjanon
nm0000107,Kim Basinger
nm0001722,Rufus Sewell
nm0171052,Holliston Coleman
nm0000369,Matt Dillon
nm0001523,Natascha McElhone
nm0000367,Gérard Depardieu
nm0000223,Elisabeth Shue
nm0000982,Josh Brolin
nm0225332,Kim Dickens
nm0000255,Ben Affleck
nm0000151,Morgan Freeman
nm1172817,Ian Mongrain
nm0090309,Russell Bobbitt
nm0005048,Thomas Jane
nm0000899,Monica Bellucci
nm0000699,Michael Wincott
nm0005321,Monica Potter
nm0048414,Dylan Baker
nm0005246,Esai Morales
nm0338614,James Marshall
nm0000319,Yancy Butler
nm0341347,Renee Allman
nm0233027,Martin Donovan
nm0035061,Anthony Arkin
nm0837051,Marla Sucharetza
nm0000571,Mary-Louise Parker
nm0133899,Guillaume Canet
nm0766046,Inés Sastre
nm0244707,André Dussollier
nm0441236,Kimberley Kates
nm0001467,Jared Leto
nm0350453,Jake Gyllenhaal
nm0004757,Selma Blair
nm0000775,Christina Applegate
nm0493699,Justin Lazard
nm0000628,Johnathon Schaech
nm0953262,Moon Unit Zappa
nm0005188,James Marsden
nm0000198,Gary Oldman
nm0000621,Kurt Russell
nm0249378,Matthew Edison
nm0001472,Jet Li
nm0004691,Aaliyah
nm0913460,Isaiah Washington
nm0000093,Brad Pitt
nm0001212,Joseph Fiennes
nm0004879,Snoop Dogg
nm0000427,Pam Grier
nm0694066,Clifton Powell
nm0000368,Laura Dern
nm0002663,Diane Ladd
nm0000593,Kelly Preston
nm0000403,Bridget Fonda
nm0001806,John Turturro
nm0441592,Chris Kattan
nm0015358,David W. Akin
nm0003919,Jeff Ferris
nm1018163,Craig Hochstein
nm0000342,James Cromwell
nm0836070,Daniel Studi
nm0076718,Chopper Bernet
nm0949350,Burt Young
nm0317570,John Gigante
nm1011760,Marrielle Monte
nm0649330,Gerald Orange
nm0730099,Brent Roam
nm0940784,Shawn Woods
nm0077753,Christopher Bersh
nm0000662,Kiefer Sutherland
nm0000579,Ron Perlman
nm0427964,Doug Jones
nm0001641,Vincent Perez
nm0014582,Liam Aiken
nm0834925,Garrett Strommen
nm0001557,Viggo Mortensen
nm0000249,James Woods
nm0001272,Annabeth Gish
nm0001745,Stellan Skarsgård
nm0372176,Lena Headey
nm1530889,Jean Johansson
nm0001648,Charlotte Rampling
nm0001951,Björk
nm0000366,Catherine Deneuve
nm0001556,David Morse
