id,movie_uid,genre_id
0548bf0aba29d6f63f9ae8c9d975f0a2,tt0120737,dc1d2a4d591857f0a0dd38b4ebcf5a72
9b90c638275ce928d01f294375589b1e,tt0120737,205b8c9a6b18d476abc94908e0280ea5
0ac2070fe9266844512454cb5f7c556f,tt0120753,205b8c9a6b18d476abc94908e0280ea5
ead0c9c65dced55f4f9b7fe61a27cb51,tt0120753,37afd7e3371138cd5e0e172427cb5232
eac9979118b370cd79fd3f2a37638c1f,tt0120753,41ce88c91e341fce1c4d961ef9244c32
4f3cc72de25dbf2e9e49720fd07c936e,tt0120755,004bf6c9a40003140292e97330236c53
870e54b8229323295b04b7435c78281e,tt0120755,dc1d2a4d591857f0a0dd38b4ebcf5a72
6883e3eba067cf2a6b681786a1d56fe5,tt0120755,41ce88c91e341fce1c4d961ef9244c32
1d5d25d3cce9e1cde2e3b95908320698,tt0120804,004bf6c9a40003140292e97330236c53
d0a07b132dd64d311a976e32082126b7,tt0120804,6dd1b5ddcf2d141fa924bb9207874c6d
0027c45122ad0cc9ff3ed08ffb42d483,tt0120804,6c61d2724763c5bc08ec935933146576
145ab17502f27d39f915195f79ff36f2,tt0120824,205b8c9a6b18d476abc94908e0280ea5
2e663b95bcefefcbf2186b76d47207a6,tt0120870,004bf6c9a40003140292e97330236c53
96a45ddce156ec9a90bd8ad379eb0531,tt0120870,e6b99f24d056d03f20b4651f79fc640e
94746129fc26867d124e24f4fbf744f7,tt0120870,6dd1b5ddcf2d141fa924bb9207874c6d
110d449d9ddd9ac96df3103ae814ac1b,tt0120903,004bf6c9a40003140292e97330236c53
773bfc944bb4ade9984bc03121fc57a9,tt0120903,dc1d2a4d591857f0a0dd38b4ebcf5a72
3a2f982afc4f4b11c2f0d2e45d186688,tt0120903,6c61d2724763c5bc08ec935933146576
3de1f236bafe99095e712c5ef5eab7d5,tt0120912,004bf6c9a40003140292e97330236c53
2c48580dda1ae0268ac185d5fe3ee1a7,tt0120912,dc1d2a4d591857f0a0dd38b4ebcf5a72
070c90432d8f669abf9a93f987823201,tt0120912,e6b99f24d056d03f20b4651f79fc640e
d060e4d55a36e7dcdfae103384b28dd4,tt0120913,004bf6c9a40003140292e97330236c53
a1763427501d6c2e62e64a96c041ecae,tt0120913,dc1d2a4d591857f0a0dd38b4ebcf5a72
8b12aad532afc913f9301c0772f570dd,tt0120913,d6b6b668dbca9d4fe774bb654226ebe3
70aab7478ac6022e630bc111858fd782,tt0120917,dc1d2a4d591857f0a0dd38b4ebcf5a72
af75b01981d6286616fd72575fa9050c,tt0120917,d6b6b668dbca9d4fe774bb654226ebe3
6e3cb73df4e419227fc7d9e760618a40,tt0120917,e6b99f24d056d03f20b4651f79fc640e
85352539f7dd0d0fd5dda031193b5888,tt0121164,d6b6b668dbca9d4fe774bb654226ebe3
cc63d7e649874b7b8e7ef0c4fe3c7bcf,tt0121164,205b8c9a6b18d476abc94908e0280ea5
5bbf0757e9b084532cda5e35dbff8f27,tt0121164,cefc4f7cbc8c34762e0f76703e7e174e
11c1ec16f8b90af431949ce1354114d4,tt0121569,37afd7e3371138cd5e0e172427cb5232
3d38a44a2543f12cefc42fc007553f2b,tt0121569,41ce88c91e341fce1c4d961ef9244c32
3283421ce3c450eb312ab1330eac9674,tt0121765,004bf6c9a40003140292e97330236c53
4e99af47ae866eea9218ccca27f31b94,tt0121765,dc1d2a4d591857f0a0dd38b4ebcf5a72
71b322fcbe6bca94f12d3507b84bcd30,tt0121765,f8e19bfcbc718a84ee8ed8aae472f9e2
47f39ec9d7314af504f56cf80d44c3b8,tt0121766,004bf6c9a40003140292e97330236c53
eaebf6d19e10119e5842dd3cb1084b40,tt0121766,dc1d2a4d591857f0a0dd38b4ebcf5a72
fcb01b62d7844b9963e86bab2346c0b9,tt0121766,f8e19bfcbc718a84ee8ed8aae472f9e2
25eaad8c557e2d079936ab9c62b95542,tt0122161,205b8c9a6b18d476abc94908e0280ea5
73fe0379649fb1b3fff091e72a1eb59a,tt0122161,41ce88c91e341fce1c4d961ef9244c32
1107dc076ff2098bae120af1c5b87d11,tt0122247,e6b99f24d056d03f20b4651f79fc640e
aa924d1cac4569db4de074a3c8ec7c1f,tt0122247,6dd1b5ddcf2d141fa924bb9207874c6d
2a873b49af4bd66d7d61659af2cbba00,tt0122247,37afd7e3371138cd5e0e172427cb5232
e3f1c9a1bb0174135345c0ed55e85255,tt0122459,e6b99f24d056d03f20b4651f79fc640e
0d2572b7253a4df311bf875a29a9b707,tt0122459,205b8c9a6b18d476abc94908e0280ea5
6484e3ded522b11ae07daf1be03f9d91,tt0122459,081fc8e8bd39e1dc72ca3f5a5fdf6697
7ece12d7b12e39425819eb456a04e50b,tt0123003,e6b99f24d056d03f20b4651f79fc640e
719b013d49b356a1c0969cf5718447ec,tt0123003,205b8c9a6b18d476abc94908e0280ea5
9713e4b297d86b7c3b47c024af705665,tt0123581,e6b99f24d056d03f20b4651f79fc640e
1a5ef9ec667a5e84d94eaa91f1cfed67,tt0124889,e6b99f24d056d03f20b4651f79fc640e
